Faculty_Support,Student_interaction_and_collaboration,Personal_Relevance,Authentic_Learning,Student_Autonomy,Interactions,Satisfaction
5.00,4.67,4.14,3.8,5,4,1
4.88,2.00,1.86,2.4,4.8,4,0
4.75,3.83,4.00,4,5,5,1
4.88,3.83,4.57,4.8,4.8,4,1
4.38,2.33,3.14,3.4,5,4,1
5.00,3.83,3.71,3,5,4.5,1
4.00,3.00,3.86,5,4.2,3,1
4.75,3.83,3.14,2.6,2.8,3.5,1
4.75,3.83,4.86,4.6,5,3,1
4.75,3.17,4.00,4,4.2,2.5,1
4.75,2.33,3.29,2.8,4.6,4.5,1
5.00,5.00,5.00,4.6,4,3,1
1.00,1.00,2.14,1,1,2,0
4.75,4.17,3.86,4.4,4.8,4.5,1
4.75,3.33,4.00,3.8,3.8,4,1
4.00,4.33,3.86,4,3.8,5,1
2.50,3.33,3.43,2.8,3.2,3.5,1
4.25,3.33,3.29,4.4,4,5,1
4.63,4.50,4.14,2,4.2,4,1
4.13,3.67,1.86,3.4,3.8,4,1
2.75,2.83,3.57,2.6,3.6,3,1
4.75,4.00,3.86,4.4,4.2,4,1
4.00,3.00,4.71,5,4.6,4,1
4.75,4.17,3.86,4.4,4.8,4.5,1
3.88,4.33,4.71,4.6,4.6,5,1
5.00,1.33,1.71,3.8,5,2.5,1
3.25,5.00,3.86,5,5,2.5,1
4.75,4.67,3.86,3.4,5,4,1
5.00,5.00,4.71,5,5,4,1
3.50,3.67,2.71,5,4.2,5,1
4.25,3.33,3.57,3.2,4.6,4.5,1
4.88,4.83,4.86,4.8,5,4,1
4.50,3.83,3.86,5,4.6,3.5,0
4.13,4.00,3.57,3.8,4.2,4.5,1
4.50,2.67,3.14,2.8,4.4,4,1
4.88,4.17,4.86,5,4.4,5,1
4.25,3.50,3.86,3.8,3.4,5,0
4.13,4.17,3.57,4.2,5,4.5,0
5.00,4.33,3.43,4.2,5,5,1
4.25,3.67,2.86,2.4,5,4,0
4.50,4.67,4.00,5,5,4.5,1
4.75,4.33,5.00,4.8,4.6,4,1
4.00,3.00,2.43,2,4.4,3,1
4.50,2.50,2.14,2,3.4,2.5,1
4.88,3.67,3.71,3.4,5,5,1
4.00,2.67,1.86,2.6,1,2,0
4.13,4.00,3.71,3.8,4.6,3.5,1
4.13,4.00,3.71,3.8,4.6,3.5,1
4.75,3.83,4.57,4,4.2,4,1
5.00,4.50,5.00,5,5,4,1
4.88,4.67,5.00,4.6,5,5,1
4.63,4.33,4.57,4.6,5,4.5,1
5.00,3.00,3.43,2.6,3.6,4,1
4.88,3.00,3.29,3.4,4.2,4.5,1
4.63,3.83,3.71,3.6,4.4,3.5,1
4.25,4.33,4.43,4.6,5,3.5,1
5.00,4.67,4.14,3.8,5,4,1
4.88,2.00,1.86,2.4,4.8,4,0
4.75,3.83,4.00,4,5,5,1
4.88,3.83,4.57,4.8,4.8,4,1
4.38,2.33,3.14,3.4,5,4,1
5.00,3.83,3.71,3,5,4.5,1
4.00,3.00,3.86,5,4.2,3,1
4.75,3.83,3.14,2.6,2.8,3.5,1
4.75,3.83,4.86,4.6,5,3,1
4.75,3.17,4.00,4,4.2,2.5,1
4.75,2.33,3.29,2.8,4.6,4.5,1
5.00,5.00,5.00,4.6,4,3,1
1.00,1.00,2.14,1,1,2,0
4.75,4.17,3.86,4.4,4.8,4.5,1
4.75,3.33,4.00,3.8,3.8,4,1
4.00,4.33,3.86,4,3.8,5,1
2.50,3.33,3.43,2.8,3.2,3.5,1
4.25,3.33,3.29,4.4,4,5,1
4.63,4.50,4.14,2,4.2,4,1
4.13,3.67,1.86,3.4,3.8,4,1
2.75,2.83,3.57,2.6,3.6,3,1
4.75,4.00,3.86,4.4,4.2,4,1
4.00,3.00,4.71,5,4.6,4,1
4.75,4.17,3.86,4.4,4.8,4.5,1
3.88,4.33,4.71,4.6,4.6,5,1
5.00,1.33,1.71,3.8,5,2.5,1
3.25,5.00,3.86,5,5,2.5,1
4.75,4.67,3.86,3.4,5,4,1
5.00,5.00,4.71,5,5,4,1
3.50,3.67,2.71,5,4.2,5,1
4.25,3.33,3.57,3.2,4.6,4.5,1
4.88,4.83,4.86,4.8,5,4,1
4.50,3.83,3.86,5,4.6,3.5,0
4.13,4.00,3.57,3.8,4.2,4.5,1
4.50,2.67,3.14,2.8,4.4,4,1
4.88,4.17,4.86,5,4.4,5,1
4.25,3.50,3.86,3.8,3.4,5,0
4.13,4.17,3.57,4.2,5,4.5,0
5.00,4.33,3.43,4.2,5,5,1
4.25,3.67,2.86,2.4,5,4,0
4.50,4.67,4.00,5,5,4.5,1
4.75,4.33,5.00,4.8,4.6,4,1
4.00,3.00,2.43,2,4.4,3,1
4.50,2.50,2.14,2,3.4,2.5,1
4.88,3.67,3.71,3.4,5,5,1
4.00,2.67,1.86,2.6,1,2,0
4.13,4.00,3.71,3.8,4.6,3.5,1
4.13,4.00,3.71,3.8,4.6,3.5,1
4.75,3.83,4.57,4,4.2,4,1
5.00,4.50,5.00,5,5,4,1
4.88,4.67,5.00,4.6,5,5,1
4.63,4.33,4.57,4.6,5,4.5,1
5.00,3.00,3.43,2.6,3.6,4,1
4.88,3.00,3.29,3.4,4.2,4.5,1
